city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
São Paulo,Sao Paulo,-23.5587,-46.625,Brazil,BR,BRA,São Paulo,admin,18845000.0,1076532519
Rio de Janeiro,Rio de Janeiro,-22.925,-43.225,Brazil,BR,BRA,Rio de Janeiro,admin,11748000.0,1076887657
Belo Horizonte,Belo Horizonte,-19.915,-43.915,Brazil,BR,BRA,Minas Gerais,admin,5575000.0,1076967355
Porto Alegre,Porto Alegre,-30.05,-51.2,Brazil,BR,BRA,Rio Grande do Sul,admin,3917000.0,1076658221
Brasília,Brasilia,-15.7833,-47.9161,Brazil,BR,BRA,Distrito Federal,primary,3716996.0,1076144436
Recife,Recife,-8.0756,-34.9156,Brazil,BR,BRA,Pernambuco,admin,3651000.0,1076137337
Fortaleza,Fortaleza,-3.75,-38.58,Brazil,BR,BRA,Ceará,admin,3602319.0,1076567885
Salvador,Salvador,-12.97,-38.48,Brazil,BR,BRA,Bahia,admin,3484000.0,1076923789
Curitiba,Curitiba,-25.42,-49.32,Brazil,BR,BRA,Paraná,admin,3084000.0,1076701712
Campinas,Campinas,-22.9,-47.1,Brazil,BR,BRA,São Paulo,,2791000.0,1076145766
Belém,Belem,-1.45,-48.48,Brazil,BR,BRA,Pará,admin,2167000.0,1076646823
Goiânia,Goiania,-16.72,-49.3,Brazil,BR,BRA,Goiás,admin,2022000.0,1076034054
Manaus,Manaus,-3.1,-60.0,Brazil,BR,BRA,Amazonas,admin,1753000.0,1076607274
Santos,Santos,-23.9537,-46.3329,Brazil,BR,BRA,São Paulo,,1709000.0,1076033299
Vitória,Vitoria,-20.324,-40.366,Brazil,BR,BRA,Espírito Santo,admin,1704000.0,1076376829
Niterói,Niteroi,-22.9,-43.1,Brazil,BR,BRA,Rio de Janeiro,,1500513.0,1076501425
Vila Velha,Vila Velha,-20.3676,-40.318,Brazil,BR,BRA,Espírito Santo,,1209091.0,1076404077
Vila Velha,Vila Velha,3.2167,-51.2167,Brazil,BR,BRA,Amapá,,1209091.0,1076575691
Maceió,Maceio,-9.62,-35.73,Brazil,BR,BRA,Alagoas,admin,1186000.0,1076440479
Natal,Natal,-5.78,-35.24,Brazil,BR,BRA,Rio Grande do Norte,admin,1088000.0,1076697777
São Luís,Sao Luis,-2.516,-44.266,Brazil,BR,BRA,Maranhão,admin,1038000.0,1076819308
Florianópolis,Florianopolis,-27.58,-48.52,Brazil,BR,BRA,Santa Catarina,admin,1023000.0,1076190259
Joinvile,Joinvile,-26.32,-48.8399,Brazil,BR,BRA,Santa Catarina,,988000.0,1076050637
Natal,Natal,-6.9838,-60.2699,Brazil,BR,BRA,Amazonas,,980588.0,1076336975
João Pessoa,Joao Pessoa,-7.1011,-34.8761,Brazil,BR,BRA,Paraíba,admin,956000.0,1076922014
Olinda,Olinda,-8.0,-34.85,Brazil,BR,BRA,Pernambuco,,921840.0,1076784718
Teresina,Teresina,-5.095,-42.78,Brazil,BR,BRA,Piauí,admin,907000.0,1076727667
Novo Hamburgo,Novo Hamburgo,-29.7096,-51.14,Brazil,BR,BRA,Rio Grande do Sul,,876990.0,1076221386
Iguaçu,Iguacu,-22.74,-43.47,Brazil,BR,BRA,Rio de Janeiro,,844583.0,1076339714
Cuiabá,Cuiaba,-15.5696,-56.085,Brazil,BR,BRA,Mato Grosso,admin,806000.0,1076112309
Campo Grande,Campo Grande,-20.45,-54.6166,Brazil,BR,BRA,Mato Grosso do Sul,admin,778000.0,1076660445
São José dos Campos,Sao Jose dos Campos,-23.2,-45.8799,Brazil,BR,BRA,São Paulo,,753769.0,1076783887
Jaboatão,Jaboatao,-8.11,-35.02,Brazil,BR,BRA,Pernambuco,,702621.0,1076000699
Aracaju,Aracaju,-10.9,-37.12,Brazil,BR,BRA,Sergipe,admin,685356.0,1076527830
São José dos Pinhais,Sao Jose dos Pinhais,-25.57,-49.18,Brazil,BR,BRA,Paraná,,665063.0,1076174955
Santo André,Santo Andre,-23.6528,-46.5278,Brazil,BR,BRA,São Paulo,,662373.0,1076625886
Canoas,Canoas,-29.92,-51.18,Brazil,BR,BRA,Rio Grande do Sul,,600000.0,1076009922
Uberlândia,Uberlandia,-18.9,-48.28,Brazil,BR,BRA,Minas Gerais,,563536.0,1076495001
Sorocaba,Sorocaba,-23.49,-47.47,Brazil,BR,BRA,São Paulo,,563281.0,1076758708
Ribeirão Prêto,Ribeirao Preto,-21.17,-47.83,Brazil,BR,BRA,São Paulo,,551267.0,1076524478
Londrina,Londrina,-23.3,-51.18,Brazil,BR,BRA,Paraná,,520238.0,1076723241
Jundiaí,Jundiai,-23.2,-46.88,Brazil,BR,BRA,São Paulo,,505548.0,1076998392
Macapá,Macapa,0.033,-51.05,Brazil,BR,BRA,Amapá,admin,499166.0,1076189884
Feira de Santana,Feira de Santana,-12.25,-38.97,Brazil,BR,BRA,Bahia,,481911.0,1076892244
Americana,Americana,-22.7499,-47.33,Brazil,BR,BRA,São Paulo,,479472.0,1076922153
Juiz de Fora,Juiz de Fora,-21.77,-43.375,Brazil,BR,BRA,Minas Gerais,,470193.0,1076006144
Volta Redonda,Volta Redonda,-22.5196,-44.095,Brazil,BR,BRA,Rio de Janeiro,,456362.0,1076343513
Foz do Iguaçu,Foz do Iguacu,-25.5235,-54.53,Brazil,BR,BRA,Paraná,,440455.0,1076025805
Campina Grande,Campina Grande,-7.23,-35.88,Brazil,BR,BRA,Paraíba,,417261.0,1076218697
Ipatinga,Ipatinga,-19.4796,-42.52,Brazil,BR,BRA,Minas Gerais,,407894.0,1076484921
Taubaté,Taubate,-23.0195,-45.56,Brazil,BR,BRA,São Paulo,,403560.0,1076146252
Campos,Campos,-21.75,-41.32,Brazil,BR,BRA,Rio de Janeiro,,387417.0,1076606365
Caxias do Sul,Caxias do Sul,-29.18,-51.17,Brazil,BR,BRA,Rio Grande do Sul,,381270.0,1076809957
São José do Rio Prêto,Sao Jose do Rio Preto,-20.7996,-49.39,Brazil,BR,BRA,São Paulo,,374699.0,1076760827
Piracicaba,Piracicaba,-22.71,-47.64,Brazil,BR,BRA,São Paulo,,342209.0,1076166252
Bauru,Bauru,-22.33,-49.08,Brazil,BR,BRA,São Paulo,,335024.0,1076905338
Montes Claros,Montes Claros,-16.72,-43.86,Brazil,BR,BRA,Minas Gerais,,332379.0,1076113275
Maringá,Maringa,-23.4095,-51.93,Brazil,BR,BRA,Paraná,,328335.0,1076013378
